OID_,Value,Count,shawn_ltas_r,LC16_BPS_200,LC20_EVT_220,MAP_UNIT_S,MAP_UNIT_N,CONCEPT,FORESTNAME,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS,EVT_GP_N
24,24,371.000000000000000,10,2029,7976,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland
25,25,3297.000000000000000,10,2029,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
26,26,376.000000000000000,10,2015,7976,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland
27,27,1929.000000000000000,10,2015,7304,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Ozark-Ouachita Dry-Mesic Oak Forest,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
28,28,1754.000000000000000,10,2015,7310,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
29,29,201.000000000000000,10,2020,7310,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
30,30,4897.000000000000000,10,2029,7310,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
31,31,4.000000000000000,10,2015,7311,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
32,32,8960.000000000000000,10,2029,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
33,33,116.000000000000000,10,2015,7905,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
34,34,641.000000000000000,10,2015,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Developed-Roads,Developed-Roads,Developed-Roads
35,35,2825.000000000000000,10,2017,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
36,36,1010.000000000000000,10,2029,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
37,37,2405.000000000000000,10,2029,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
38,38,93.000000000000000,10,2020,7976,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland
39,39,1626.000000000000000,10,2015,7364,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Ozark-Ouachita Dry Oak Woodland,Hardwood,Post Oak Woodland and Savanna
40,40,9967.000000000000000,10,2017,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
41,41,8575.000000000000000,10,2015,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
42,42,6691.000000000000000,10,2017,7364,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Ozark-Ouachita Dry Oak Woodland,Hardwood,Post Oak Woodland and Savanna
43,43,1395.000000000000000,10,2029,7364,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Ozark-Ouachita Dry Oak Woodland,Hardwood,Post Oak Woodland and Savanna
44,44,908.000000000000000,10,2029,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Developed-Roads,Developed-Roads,Developed-Roads
45,45,33401.000000000000000,10,2017,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
46,46,1301.000000000000000,10,2015,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
47,47,58.000000000000000,10,2017,9317,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
